sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Pterois volitans/miles	RO:0002470	eats		Gastropoda		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Stenopus hispidus		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Clibanarius tricolor		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Lutjanus apodus	RO:0002470	eats		Sparisoma		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Lutjanus apodus	RO:0002470	eats		Mithrax		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Lutjanus apodus	RO:0002470	eats		Portunidae		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Lutjanus apodus	RO:0002470	eats		Stomatopoda		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Lutjanus apodus	RO:0002470	eats		Pitho		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Lutjanus apodus	RO:0002470	eats		Penaeidae		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Lutjanus apodus	RO:0002470	eats		Palaemonidae		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Lutjanus apodus	RO:0002470	eats		Panopeidae		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Lutjanus apodus	RO:0002470	eats		Pachygrapsus		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
